pk,sid,name,access,licence,group_count,individual_count,intervention_count,output_count,timecourse_count,scatter_count,title,pmid,substances
938,PKDB00451,Cysneiros2007,public,closed,1,0,3,188,7,0,Pharmacokinetic and pharmacodynamic interactions between zolpidem and caffeine.,17443132,caf caffeine caffeine (137x) px paraxanthine paraxanthine (17x) tp theophylline theophylline (13x) tb theobromine theobromine (37x) zolpidem zolpidem zolpidem
413,PKDB00151,Prescott1981,public,open,3,0,3,126,6,0,Effects of microsomal enzyme induction on paracetamol metabolism in man.,7306429,apap paracetamol paracetamol apapglu paracetamol glucuronide paracetamol glucuronide apapsul paracetamol sulfate paracetamol sulfate apapcys paracetamol cysteine paracetamol cysteine apapmer paracetamol mercapturate paracetamol mercapturate caf caffeine caffeine (137x) antipyrine antipyrine antipyrine
898,PKDB00431,Axelrod1953,public,closed,1,3,2,84,6,0,The fate of caffeine in man and a method for its estimation in biological material.,13053413,caf caffeine caffeine (137x)
937,PKDB00019,CulmMerdek2005,public,open,1,0,5,124,6,0,Fluvoxamine impairs single-dose caffeine clearance without altering caffeine pharmacodynamics.,16236038,caf caffeine caffeine (137x) px paraxanthine paraxanthine (17x) tp theophylline theophylline (13x) tb theobromine theobromine (37x) fluvoxamine fluvoxamine fluvoxamine
1024,PKDB00493,Wahllaender1990,public,closed,12,423,4,976,6,14,Assessment of hepatic function. Comparison of caffeine clearance in serum and saliva during the day and at night.,2185297,14cco2 14c-co2 14c carbon dioxide caf caffeine caffeine (137x) 14c-aminopyrine [14c] aminopyrine [14c] aminopyrine
910,PKDB00011,Benowitz2003,public,closed,4,20,4,213,6,0,Effects of cigarette smoking and carbon monoxide on chlorzoxazone and caffeine metabolism.,14586387,caf caffeine caffeine (137x) 1x 1x 1-methylxanthine (1x) 1u 1u 1-methyluric acid (1u) aamu aamu 5-acetylamino-6-amino-3-methyluracil (aamu) chlorzoxazone chlorzoxazone chlorzoxazone 6-hydroxychlorzoxazone 6-hydroxychlorzoxazone 6-hydroxychlorzoxazone carbon-monoxide carbon monoxide carbon monoxide (co)
1016,PKDB00489,Tanaka1993,public,closed,1,0,2,106,6,0,"Comparison of hepatic drug-oxidizing activity after simultaneous administration of two probe drugs, caffeine and trimethadione, to human subjects.",8441739,caf caffeine caffeine (137x) px paraxanthine paraxanthine (17x) tp theophylline theophylline (13x) tb theobromine theobromine (37x) trimethadione trimethadione trimethadione dimethadione dimethadione dimethadione
1009,PKDB00486,Scott1989,public,closed,5,29,1,224,6,0,The pharmacokinetics of caffeine and its dimethylxanthine metabolites in patients with chronic liver disease.,2713214,albumin albumin albumin bilirubin bilirubin bilirubin caf caffeine caffeine (137x) px paraxanthine paraxanthine (17x)
1027,PKDB00339,White2016,public,closed,6,0,5,130,5,0,Pharmacokinetic analysis and comparison of caffeine administered rapidly or slowly in coffee chilled or hot versus chilled energy drink in healthy young adults.,27100333,caf caffeine caffeine (137x)
346,PKDB00195,Clements1984,public,open,1,0,5,98,4,0,The role of sulphate conjugation in the metabolism and disposition of oral and intravenous paracetamol in man.,6487489,apap paracetamol paracetamol apapglu paracetamol glucuronide paracetamol glucuronide apapsul paracetamol sulfate paracetamol sulfate apapmer paracetamol mercapturate paracetamol mercapturate caf caffeine caffeine (137x)
1000,PKDB00478,Perera2010,public,closed,1,2,1,79,4,0,Caffeine and paraxanthine HPLC assay for CYP1A2 phenotype assessment using saliva and plasma.,20853468,caf caffeine caffeine (137x) px paraxanthine paraxanthine (17x)
